algorithm,seed,scenario,power_model,pue_model,n_vms,n_vms_rejected,total_energy_dc_kj,total_compute_energy_kj,total_cooling_energy_kj,avg_pue,avg_dc_util,avg_active_hosts,sla_violation_rate,sla_violations_abs
SpreadFit,9,low,linear,linear,34,0,4127.836980236058,2525.349016599083,1602.4879636369742,1.6694056648223243,0.21765722529612647,3.75,0.016666666666666666,1
Random,0,low,linear,linear,33,0,4435.058066502239,2757.527869253582,1677.5301972486563,1.6516080145273802,0.24731997578770035,3.95,0.13333333333333333,8
Random,1,low,linear,linear,42,0,6034.002400601206,3864.842598433801,2169.159802167405,1.590573044618467,0.3490449256358889,5.5,0.25,15
Random,2,low,linear,linear,43,0,3468.57840676799,2101.0223858582895,1367.5560209096998,1.6825530682379681,0.19574488627005374,2.9,0.3333333333333333,20
Random,3,low,linear,linear,38,0,4950.650466871186,3115.041717295598,1835.608749575585,1.6285509203004893,0.2857484661658517,4.366666666666666,0.15,9
Random,4,low,linear,linear,30,0,3886.388682745109,2357.061809078277,1529.3268736668326,1.6781042434357467,0.20315959427375485,3.5,0.0,0
Random,5,low,linear,linear,45,1,6368.708028786268,4165.5291368939215,2203.17889189235,1.5598300959006752,0.4002831734988744,5.566666666666666,0.7166666666666667,43
Random,6,low,linear,linear,39,0,5999.086639694378,3883.109070476196,2115.9775692181806,1.5825434366137556,0.3624276056437404,5.35,0.7,42
Random,7,low,linear,linear,37,0,4778.570092741285,2969.661987281233,1808.908105460056,1.6393708903020852,0.2677151828298579,4.233333333333333,0.2833333333333333,17
Random,8,low,linear,linear,28,0,4396.670927118272,2674.5350922401512,1722.135834878121,1.6621627675288724,0.22972872078521298,3.9833333333333334,0.016666666666666666,1
Random,9,low,linear,linear,34,0,4006.9119770998936,2453.349016599083,1553.56296050081,1.6694056648223243,0.21765722529612647,3.55,0.08333333333333333,5
PABFD,0,medium,linear,linear,33,0,3733.6623242908386,2293.0038170481644,1440.6585072426756,1.6705551314390932,0.21574144760151184,3.1333333333333333,0.31666666666666665,19
