algorithm,seed,scenario,n_vms,n_vms_rejected,total_energy_dc_kj,total_compute_energy_kj,total_cooling_energy_kj,avg_pue,min_pue,max_pue,avg_active_hosts,sla_violation_rate,sla_violations_abs,migration_count
Random,7,low,37,0,4778.570092741285,2969.661987281233,1808.908105460056,1.6393708903020852,1.4672060454001556,1.7761950068430052,4.233333333333333,0.2833333333333333,17,0
Random,8,low,28,0,4396.670927118272,2674.5350922401512,1722.135834878121,1.6621627675288724,1.5757697498901053,1.8,3.9833333333333334,0.016666666666666666,1,0
Random,9,low,34,0,4006.9119770998936,2453.349016599083,1553.56296050081,1.6694056648223243,1.516270909638171,1.8,3.55,0.08333333333333333,5,0
D_PABFD,0,low,33,0,4218.7769887721615,2625.527869253582,1593.2491195185792,1.6516080145273802,1.4859797856225563,1.8,3.5833333333333335,0.26666666666666666,16,0
D_PABFD,1,low,42,0,5645.97201369527,3618.842598433801,2027.1294152614678,1.5905730446184667,1.438062894692007,1.7772712209120998,4.816666666666666,0.5666666666666667,34,0
D_PABFD,2,low,43,0,3386.877089792785,2053.0223858582895,1333.8547039344937,1.6825530682379681,1.4817485246402207,1.784264611465158,2.7666666666666666,0.4,24,0
D_PABFD,3,low,38,0,4699.267389841849,2959.041717295598,1740.2256725462494,1.6285509203004893,1.4348292677662648,1.8,3.933333333333333,0.18333333333333332,11,0
D_PABFD,4,low,30,0,3598.7930444872477,2183.061809078277,1415.7312354089718,1.6781042434357467,1.5465865058548223,1.8,3.0166666666666666,0.08333333333333333,5,0
D_PABFD,5,low,45,1,6331.6298098483085,4141.5291368939215,2190.1006729543874,1.5598300959006752,1.3809779747197295,1.7675275176430862,5.5,0.7166666666666667,43,0
D_PABFD,6,low,39,0,5775.8027372478255,3739.109070476196,2036.6936667716293,1.5825434366137554,1.4314830681327837,1.8,4.95,0.65,39,0
D_PABFD,7,low,37,0,4439.560055267035,2759.661987281233,1679.8980679858043,1.6393708903020852,1.4672060454001556,1.7761950068430052,3.65,0.43333333333333335,26,0
D_PABFD,8,low,28,0,4041.2116324865115,2458.5350922401503,1582.676540246361,1.6621627675288724,1.5757697498901055,1.8,3.3833333333333333,0.18333333333333332,11,0
D_PABFD,9,low,34,0,3787.872602108587,2321.349016599083,1466.5235855095038,1.6694056648223243,1.516270909638171,1.8,3.183333333333333,0.03333333333333333,2,0
PABFD_PUE15,0,medium,33,0,3733.6623242908386,2293.0038170481644,1440.6585072426756,1.6705551314390932,1.4859797856225563,1.8,3.1333333333333333,0.31666666666666665,19,0
PABFD_PUE15,1,medium,42,0,5036.813587243805,3188.62001379493,1848.1935734488743,1.6157088873561194,1.4525720715613866,1.7772712209120998,4.25,0.5166666666666667,31,0
PABFD_PUE15,2,medium,43,0,3022.0538787941905,1816.2185442168184,1205.8353345773705,1.696197939531465,1.5270036423279814,1.784264611465158,2.45,0.36666666666666664,22,0
PABFD_PUE15,3,medium,38,0,4134.886031404608,2566.6119969402716,1568.274034464337,1.653487555895525,1.4548420731285725,1.8,3.466666666666667,0.15,9,0
PABFD_PUE15,4,medium,30,0,3162.6738572101185,1898.4079476127858,1264.2659095973322,1.6930657835985796,1.5465865058548223,1.8,2.6,0.06666666666666667,4,0
PABFD_PUE15,5,medium,45,1,5757.269839125502,3715.5325608648154,2041.7372782606867,1.5844963821261315,1.3755974605981771,1.7675275176430862,4.933333333333334,0.65,39,0
PABFD_PUE15,6,medium,39,0,5083.909312894417,3229.859644954263,1854.049667940154,1.6117933727828593,1.4521839458858619,1.8,4.266666666666667,0.5666666666666667,34,0
PABFD_PUE15,7,medium,37,0,4026.0520883781282,2472.0159419401352,1554.0361464379944,1.6566648953399854,1.4672060454001556,1.7761950068430052,3.283333333333333,0.43333333333333335,26,0
PABFD_PUE15,8,medium,28,0,3570.8938685536104,2145.7968455938676,1425.0970229597435,1.680244794934015,1.60284978834525,1.8,2.966666666666667,0.13333333333333333,8,0
PABFD_PUE15,9,medium,34,0,3404.8864226054893,2067.9987579091335,1336.8876646963556,1.6828890268989851,1.5260116112473547,1.8,2.816666666666667,0.16666666666666666,10,0
PABFD_PUE12,0,medium,33,0,3733.6623242908386,2293.0038170481644,1440.6585072426756,1.6705551314390932,1.4859797856225563,1.8,3.1333333333333333,0.31666666666666665,19,0
PABFD_PUE12,1,medium,42,0,5036.813587243805,3188.62001379493,1848.1935734488743,1.6157088873561194,1.4525720715613866,1.7772712209120998,4.25,0.5166666666666667,31,0
