seed,scenario,algorithm,t_lookahead,p_accuracy,total_energy_j,energy_kwh,sla_violation_rate,total_migrations,total_vms,idle_time_saved_s,idle_energy_saved_j
0,low,PABFD,300,0.75,2642884.2771471217,0.734134521429756,0.058333333333333334,0,31,0.0,0.0
0,low,FFD,300,0.75,2648884.2771471213,0.7358011880964226,0.055,0,31,0.0,0.0
0,low,P_PABFD_EWA,300,0.75,2642884.2771471217,0.734134521429756,0.058333333333333334,1,31,150.0,15000.0
0,low,P_PABFD_AR3,300,0.75,2624884.2771471217,0.729134521429756,0.058333333333333334,4,31,450.0,45000.0
0,low,P_PABFD_Oracle,300,0.75,2636884.2771471213,0.7324678547630893,0.058333333333333334,17,31,2250.0,225000.0
0,medium,PABFD,300,0.75,2633039.138169362,0.7313997606026006,0.056666666666666664,0,31,0.0,0.0
0,medium,FFD,300,0.75,2633039.138169362,0.7313997606026006,0.055,0,31,0.0,0.0
0,medium,P_PABFD_EWA,300,0.75,2669039.1381693617,0.7413997606026005,0.056666666666666664,2,31,300.0,30000.0
0,medium,P_PABFD_AR3,300,0.75,2669039.1381693617,0.7413997606026005,0.056666666666666664,4,31,450.0,45000.0
0,medium,P_PABFD_Oracle,300,0.75,2663039.1381693617,0.7397330939359338,0.056666666666666664,17,31,2250.0,225000.0
0,high,PABFD,300,0.75,2276244.5274327463,0.6322901465090962,0.03333333333333333,0,31,0.0,0.0
0,high,FFD,300,0.75,2270244.527432747,0.6306234798424297,0.03166666666666667,0,31,0.0,0.0
0,high,P_PABFD_EWA,300,0.75,2276244.5274327463,0.6322901465090962,0.03333333333333333,4,31,600.0,60000.0
0,high,P_PABFD_AR3,300,0.75,2276244.5274327463,0.6322901465090962,0.03333333333333333,3,31,450.0,45000.0
0,high,P_PABFD_Oracle,300,0.75,2276244.5274327463,0.6322901465090962,0.03333333333333333,13,31,1800.0,180000.0
1,low,PABFD,300,0.75,3341835.8546388405,0.928287737399678,0.035,0,37,0.0,0.0
1,low,FFD,300,0.75,3341835.8546388424,0.9282877373996784,0.025,0,37,0.0,0.0
1,low,P_PABFD_EWA,300,0.75,3341835.854638841,0.9282877373996781,0.035,3,37,450.0,45000.0
1,low,P_PABFD_AR3,300,0.75,3341835.8546388405,0.928287737399678,0.035,4,37,600.0,60000.0
1,low,P_PABFD_Oracle,300,0.75,3329835.854638841,0.9249544040663448,0.035,19,37,2400.0,240000.0
1,medium,PABFD,300,0.75,3297787.2341623083,0.91605200948953,0.03333333333333333,0,37,0.0,0.0
1,medium,FFD,300,0.75,3125656.585683039,0.8682379404675108,0.01,0,37,0.0,0.0
